pkey,created_on,last_updated_on,version,category,competition_id,country,end_date,match_format,name,no_of_matches,no_of_rounds,no_of_teams,season,short_name,src_id,start_date
61,"2021-02-15 00:01:33","2021-02-15 00:01:33",1,international,T20I,int,2019-03-24,mixed,"Sri Lanka tour of South Africa",10,3,3,2018/19,sltosa-1819,111316,2019-02-13
62,"2021-02-15 00:01:41","2021-02-15 00:01:41",1,international,T20I,int,2018-02-21,t20i,"Twenty20 Tri Series",7,2,3,2017/18,tts-1718,90714,2018-02-03
63,"2021-02-15 00:01:46","2021-02-15 00:01:46",1,international,T20I,int,2018-12-22,mixed,"West Indies tour of Bangladesh",8,3,4,2018/19,witob-1819,111475,2018-09-18
64,"2021-02-15 00:01:52","2021-02-15 00:01:52",1,international,T20I,int,2021-02-15,mixed,"West Indies Tour of Bangladesh",6,2,3,2021,WB21,118004,2021-01-20
65,"2021-02-15 00:01:52","2021-02-15 00:01:52",1,international,T20I,int,2018-11-11,mixed,"West Indies tour of India",10,3,2,2018/19,witoi-1819,111604,2018-10-04
66,"2021-02-15 00:01:57","2021-02-15 00:01:57",1,international,T20I,int,2019-12-22,mixed,"West Indies tour of India",6,2,3,2019,witoi-201920,113485,2019-12-06
67,"2021-02-15 00:02:06","2021-02-15 00:02:06",1,international,T20I,int,2018-01-03,mixed,"West Indies tour of New Zealand",10,3,4,2017/18,witonz-1718,106490,2017-11-25
68,"2021-02-15 00:02:15","2021-02-15 00:02:15",1,international,T20I,int,2020-12-15,mixed,"West Indies tour of New Zealand",7,3,3,2020,witonz-202021,116956,2020-11-19
69,"2021-02-15 00:02:21","2021-02-15 00:02:21",1,international,T20I,int,2018-04-04,t20i,"West Indies tour of Pakistan",3,1,2,2018,witop-18,111213,2018-04-01
70,"2021-02-15 00:02:28","2021-02-15 00:02:28",1,international,T20I,int,2020-03-06,mixed,"West Indies tour of Sri Lanka",7,3,5,2020,witosl-201920,114422,2020-02-16
71,"2021-02-15 00:02:36","2021-02-15 00:02:36",1,international,T20I,int,2018-11-15,mixed,"Zimbabwe tour of Bangladesh",6,2,3,2018/19,ztob-1819,111601,2018-10-19
72,"2021-02-15 00:02:36","2021-02-15 00:02:36",1,international,T20I,int,2020-03-11,mixed,"Zimbabwe tour of Bangladesh",7,3,4,2020,ztob-201920,114425,2020-02-18
